Period_1,Period_2,Period_3,Period_4,Period_5,Period_6,Period_7,Period_8,Period_9,Period_10,Period_11,Period_12,Period_13,Period_14,Period_15,Period_16
,,,,,0,9,0,5,6,0,0,5,0,0,18
,,,,,,,,,,,,,40,3,0
10,15,0,0,0,0,0,0,0,0,2.5,8,0,0,7.8,0
0,0,0,0,0,0,0,43.6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,29.5,8.5,3,0,3,0,0,0
,,,,,,,,0,0,44.5,0,0,0,0,0
,,,,,,,,9.5,0,6,0,0,0,0,29
0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
29,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
0,10,25,0,12,0,0,0,0,0,0,0,0,0,0,0
0,0,22,0,6,20,0,0,0,0,0,0,0,0,0,0
,,,,,20,11,6,11,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,48.5,0,0
29,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
39,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,4.5,4.59,0,40
0,0,0,0,0,0,0,0,10,40,0,0,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,0,0,0,50,0,0
,,,,,,,,,,,10,0,0,40,0
,,,,,,,,,,,,,,,50
0,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,45,0,0,0,0,6,0
0,0,0,0,0,0,0,0,0,0,0,0,6,6,30,10
0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,0,0,0,0,0,0,0,0,0,0,0,0,53.5
,,,,,,,,0,0,0,0,54.5,0,0,0
,,,,,,,,,,,,,54.5,0,0
,,,,,,,,,,,,,,16,39
0,0,5,0,0,0,51,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,34.5,23,0
,,,,,,,,,,,,,,,58.8
24,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
